Trial,Val_Accuracy,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Time
117,52.019999999999996,3,gelu,1536,0.0005174255755341528,96,0.00010432737568394538,0.27393368912543414,152.71
118,52.31,4,selu,1536,0.00012651781029687054,128,0.0011008692663227204,0.15053003326652706,178.82
119,55.35,2,relu,512,2.6897048425788624e-05,96,0.0008399614137543539,0.19642872849137527,183.82
120,55.61000000000001,2,gelu,1536,0.0001594955349885438,64,0.00019682341875208828,0.4224434952974184,173.36
121,45.06,4,elu,512,0.0007459425611512329,96,0.0016976161990226895,0.13106125699795315,62.01
122,48.480000000000004,2,selu,1024,5.218121575318741e-05,96,0.00045847479054867687,0.4194086746711575,210.71
123,53.89000000000001,1,relu,512,0.0001133863936556018,96,1.3868475087067348e-05,0.44078482638825667,163.26
124,46.67,4,elu,512,0.00102212153595434,128,1.2982316307693248e-05,0.4657379441155569,73.89
125,54.54,1,relu,1024,4.564771506546319e-05,64,1.2579406497959882e-05,0.30852056199669886,159.38
126,37.08,2,tanh,1024,0.0012232027585871862,128,7.144729203477235e-05,0.15800681174487088,48.75
127,26.76,1,relu,512,0.0022800333842987602,64,0.008988121960657515,0.2170878706331382,34.85
128,15.989999999999998,2,tanh,1024,0.006216962894067722,128,0.004903253702788191,0.17526987283646633,25.98
129,44.42,3,elu,1536,0.0011510452778995884,96,3.0729048720037475e-05,0.3277980543910706,88.78
130,32.23,4,tanh,1024,0.0007798231650167822,96,0.0018584545930503194,0.3484164946396191,87.46
131,52.07000000000001,1,relu,512,0.00023999021489772292,96,8.562098845605366e-05,0.3783380999318904,95.05
132,10.0,3,tanh,1536,0.005716648134213866,64,3.418266926687769e-05,0.26333489343805083,51.51
133,50.89,1,gelu,512,1.1549562545533462e-05,128,3.0348881113298353e-05,0.26395837126000044,145.77
134,39.07,3,gelu,1536,0.000557309862242495,96,0.0044827283018207455,0.380364086809572,69.63
135,55.75,4,gelu,1024,4.70440734035254e-05,96,9.944457869399126e-05,0.1494832703857427,111.82
136,38.99,1,relu,1024,0.003818433960862129,128,7.734272299420139e-05,0.20680994718526843,39.54
137,34.150000000000006,2,elu,1536,0.00036928817495800577,96,0.00987880651384302,0.4981604279050563,64.75
138,52.239999999999995,4,elu,512,3.7031633355001405e-05,96,1.0993814998356996e-05,0.24239286037950586,190.44
139,50.739999999999995,2,elu,512,0.0001353146469758053,128,0.00116918116859281,0.30632293491042684,120.65
140,13.73,3,tanh,512,0.0068250680381167226,128,0.0016449755688716216,0.2346592710289293,27.91
141,47.03,2,gelu,1536,0.00029008004020244615,96,0.0041613276576737464,0.21941765208542138,73.37
142,44.48,4,elu,512,0.00034836701304496976,96,0.0029038004500173274,0.19252992812288833,96.06
143,51.0,1,elu,1024,0.00024138511415954653,96,0.0002667270290563612,0.28953783126454025,83.13
144,50.06,4,relu,512,1.2835129913621878e-05,128,3.364297478103581e-05,0.3372274063883357,156.17
145,18.44,4,relu,1536,0.0015380258470602953,64,0.005741572135629253,0.4803927945319052,84.97
146,55.74,4,gelu,1536,4.428787802068538e-05,128,2.7420769198167958e-05,0.4370032326730019,193.75
147,49.230000000000004,2,elu,512,0.0004590565071055501,128,0.0006171057185751079,0.37305177527766953,90.96
148,36.65,1,tanh,1024,0.0015499148179358932,96,0.0008489401866050878,0.12444875373124993,41.83
149,50.79,3,elu,1536,1.7332631831054594e-05,96,0.00022419505324639956,0.3914419135605298,269.4
150,43.169999999999995,2,selu,1024,1.1341724112040442e-05,96,0.0001890634956598896,0.3410832860535963,151.67
151,40.1,4,gelu,1024,0.0017425337359606896,128,9.680975587738494e-05,0.32265967404746987,43.94
152,53.839999999999996,3,relu,512,0.00022616024141869042,64,0.00036610327702169015,0.18759750331076064,127.36
153,50.529999999999994,4,relu,512,0.00011481190830451191,128,3.5498593516766826e-05,0.3757466094144313,153.99
154,30.830000000000002,1,gelu,512,0.0019117251165493162,64,0.0037581384866627885,0.26383860293848727,34.86
155,49.730000000000004,3,gelu,1536,4.8081051420550234e-05,96,0.0037467314772532843,0.4072924350643642,352.91
156,24.68,1,relu,1536,0.005745364442188286,64,0.001959521084925733,0.15382772066307926,34.33
157,36.94,4,relu,512,0.0006221890716014792,96,1.8928527013288575e-05,0.37877052814808787,105.87
158,42.89,1,selu,1536,0.000947988262175265,128,0.0012182066348854442,0.2109570271727869,43.47
159,52.290000000000006,2,elu,512,3.854984353102766e-05,64,0.0004909621561328073,0.2847114644605314,255.57
160,36.13,2,relu,1536,0.000809500664215858,64,0.002425671893450542,0.37119770597283464,73.77
161,47.760000000000005,3,gelu,512,0.00017246624107312468,96,0.006435079273966966,0.13127738258553134,113.33
162,26.729999999999997,3,gelu,1024,0.0019328991772206204,96,0.0016150335649222803,0.4768345562497408,38.95
163,41.78,2,elu,1024,0.00025636453856273074,96,0.007279480971595667,0.2913796216360315,70.35
164,39.33,4,elu,512,0.00012257945897803756,128,0.0074001898317412555,0.4260682127170061,83.28
165,36.370000000000005,1,relu,512,0.0034549335182102094,96,0.00025488317642229183,0.20761026047524855,34.85
166,55.36,2,relu,1024,3.345183151103442e-05,96,0.00015137557346588468,0.267993060068178,134.56
167,52.78,2,gelu,1536,3.4501750267698914e-05,96,0.001818507458655868,0.4707250682622389,286.53
168,53.800000000000004,1,gelu,1536,0.00019426062995971796,64,8.98758862324756e-05,0.43014956672041493,145.28
169,54.63,2,elu,1024,7.328412241259464e-05,128,1.066110758442504e-05,0.45223889465012146,173.72
170,33.75,2,elu,512,0.002445349686526159,64,0.001214761768696706,0.1599763005766211,39.37
171,53.690000000000005,2,tanh,1024,3.0491735948523365e-05,128,5.4047233798879216e-05,0.13721781343810002,179.02
172,55.92,2,relu,1024,2.6380876817250372e-05,128,0.0003931075721444433,0.17942325909530432,158.55
173,52.38,1,selu,1024,0.00025825846800819327,128,0.00017087380964262515,0.30791312471370824,132.55
174,36.980000000000004,2,selu,512,0.004496933599586045,128,0.0007804153500655294,0.12947839425856933,49.9
175,51.85999999999999,1,elu,512,6.131319567795091e-05,128,0.00019016522512779076,0.17627663861401976,144.87
176,54.14,4,relu,512,4.3832772357315667e-05,96,2.0614146495738655e-05,0.17552944744487844,103.48
177,53.86,4,selu,1536,0.0001282698235943121,64,5.12242366767934e-05,0.4972029613024448,346.1
178,49.39,4,relu,1024,8.774135388962389e-05,64,0.006791722852874155,0.2607216956770466,274.7
179,49.8,4,tanh,1024,0.00014421332883814795,96,0.0009564483386233337,0.2060891621030249,122.41
180,33.33,3,tanh,1024,0.0008080571265368955,64,2.314026690642921e-05,0.2937993154049528,124.15
181,40.94,3,relu,512,0.000987905924705865,96,0.00014501721697833552,0.29314001287515007,55.05
182,32.62,1,relu,1536,0.0024265111652036846,96,0.0014447217167803477,0.2368370686512917,56.03
183,54.98,4,gelu,512,0.00012151227657113918,128,4.881806048192978e-05,0.30567325563789116,91.34
184,41.44,3,gelu,1024,0.00030842039069854053,64,0.0047138808426291775,0.41462519194077274,100.5
185,34.489999999999995,3,elu,1536,0.0022109720215604924,64,7.212605751230203e-05,0.20174614726008142,85.21
186,10.0,4,relu,512,0.0070507242322977014,96,0.002875710508447176,0.18972609500604354,60.61
187,16.869999999999997,4,tanh,1536,0.001127273529479235,64,0.00030825680807412966,0.20248815143989055,113.91
188,41.55,2,tanh,1536,1.228915234305211e-05,128,0.005281436696098035,0.47230432622833163,237.59
189,35.67,4,tanh,512,0.0009994174381350652,96,0.0007180839103345493,0.21932142617624792,60.26
190,28.26,3,tanh,512,0.0015742940791861285,128,0.005287918411396988,0.3283155201144517,31.99
191,52.12,3,relu,512,1.1813755923896358e-05,128,0.0007190563086297325,0.40310571946895035,151.36
192,49.559999999999995,3,relu,1024,0.0009210919004421493,64,2.497486243656077e-05,0.1281548078735614,139.33
193,14.760000000000002,3,tanh,1536,0.0028252324117280393,96,1.5064031581677688e-05,0.18438728206931132,43.2
194,27.05,2,gelu,1536,0.004820707428213624,64,2.607805741420947e-05,0.3506184149273669,37.43
195,50.580000000000005,3,tanh,1536,1.874235184190972e-05,64,0.0001418867010484966,0.3554328318735953,360.33
196,44.99,4,tanh,1536,1.1757097172902145e-05,96,0.0016528457529279017,0.33838551160833374,427.09
197,52.01,4,elu,1536,0.0001174309738426751,64,0.0002161612949848935,0.4989197593743806,252.1
198,55.010000000000005,1,gelu,512,4.202088737753707e-05,64,3.139768129502605e-05,0.3648053786237003,222.83
199,45.12,4,selu,1536,0.00013452472720360646,64,0.00139114793170368,0.40290760673021075,262.5
200,42.5,3,relu,512,0.001967488430365077,128,0.00017123918044398536,0.19132319692563296,70.44
201,53.410000000000004,1,gelu,512,0.0001200822329675032,96,1.9213121211552274e-05,0.22739027804703246,78.64
202,18.529999999999998,4,selu,1536,0.0028344387002158717,96,0.002522097197211131,0.1271660520674568,57.56
203,45.64,3,elu,1536,1.0915900212085908e-05,96,0.0035376701768111076,0.2993539108654302,300.2
204,39.17,2,tanh,1024,0.0007716467820033882,96,0.0005181454182235974,0.40223150209029346,94.95
205,54.510000000000005,3,relu,1536,0.00016961535089017891,128,0.00011651244601658608,0.3800208297864013,158.44
206,55.059999999999995,3,gelu,512,2.8588396461246877e-05,64,0.0001624419139185413,0.1498550933339828,174.75
207,27.1,2,selu,512,0.004780994945241551,128,0.009006566104004174,0.1671816962322611,28.74
208,50.86000000000001,1,relu,1536,1.0195767239318925e-05,128,0.0033649690712761657,0.27737749411749746,183.44
209,50.55,1,relu,1536,0.00012315165002818872,128,0.003175005660136554,0.41233181857303236,115.14
210,52.739999999999995,2,selu,1024,0.00022893387503140021,128,0.00012122876885581105,0.17846275269306988,78.3
211,53.02,1,gelu,1024,6.40401372701059e-05,64,0.001359408749932917,0.39554246266625104,182.2
212,37.55,2,elu,1536,0.0014999340265980999,64,0.00037724976779239115,0.2796007027744205,59.02
213,52.87,4,relu,1024,3.080484864599262e-05,64,0.00530795792755947,0.2710841053283598,289.84
214,25.509999999999998,2,gelu,1024,0.004862036307352304,96,2.5386878736077963e-05,0.4779017154834019,35.35
215,48.5,1,selu,1024,7.095028390008754e-05,128,0.0003280970760235946,0.3445579860773763,157.93
216,55.32,2,relu,1024,8.484288636847632e-05,128,0.0002598046486182022,0.309221051603881,124.75
217,27.16,1,elu,1024,0.005253905737720021,64,0.0012190168040753877,0.24766589068391798,27.74
218,44.06,1,selu,512,0.0011153478423407196,96,0.0004310664664075507,0.3130755256163369,55.75
219,41.6,4,tanh,1536,0.00010147407316001961,128,0.008300719293491273,0.16670595435553803,121.32
220,28.17,4,relu,512,0.001259060980516984,96,0.0020603310577624076,0.34194065288590103,46.65
221,55.24,4,gelu,512,7.4188591959528e-05,96,5.515261002449612e-05,0.1541710929683494,84.52
222,40.36,2,gelu,1536,0.0016961809660539999,128,0.00024564212512363695,0.36239905859475396,41.75
223,16.17,3,relu,1536,0.005672571807508139,96,0.009908620056142589,0.2894396536541566,47.45
